"STAID","N","N_qSC","DATE.B","DATE.E","Model","ALPHA","ECK.OHS.BETA","ECK.CaF.BETA","CS","CBmn","CBamp","sday","CBamp2","RMSE","NS","ACCEPT","Streamflow","BF_Fraction.ECK.CaF","BF_Fraction.ECK.OHS","Days.ECK.CaF","Days.ECK.OHS"
"'04077400'",5753,109,"9/30/1985","6/30/2001","'SCfit'",0.9896,0.7479,0.7659,139.8708,NA,NA,NA,NA,358.3311,0.6032,"Y",765.4071,0.716,0.7022,0.0541,0.0475
"'04105700'",19373,16,"10/1/1964","10/15/2017","'SCfit'",0.9678,0.9441,0.9084,325,NA,NA,NA,NA,118.1397,0.7741,"Y",43.8692,0.8892,0.9253,0.1528,0.2172
"'04122200'",22048,10,"8/1/1957","12/11/2017","'sin_cos'",0.9827,0.75,0.888,173.7734,409,10,"4/2/2011",10,102.24,0.7652,"Y",451.1118,0.8607,0.741,0.1206,0.0275
"'04122500'",28568,120,"8/1/1939","10/17/2017","'SCfit'",0.978,0.846,0.9341,201.2326,NA,NA,NA,NA,245.3079,0.774,"Y",723.6585,0.9195,0.8358,0.1303,0.0477
"'04123500'",11415,24,"10/1/1942","12/31/1973","'SCfit'",0.9904,0.5922,0.9742,258.5334,NA,NA,NA,NA,205.0479,0.4272,"Y",184.0731,0.968,0.5922,0.1273,0
"'04124000'",35537,31,"7/1/1903","10/19/2017","'SCfit'",0.9809,0.8038,0.9567,210,NA,NA,NA,NA,177.0217,0.363,"Y",1068.4375,0.9475,0.8015,0.1155,0.0082
"'04125500'",11049,30,"7/1/1952","9/30/1982","'SCfit'",0.9849,0.6007,0.9056,230.6733,NA,NA,NA,NA,190.4426,0.3924,"Y",288.1301,0.8789,0.6005,0.1018,1e-04
"'04126970'",7342,300,"9/10/1997","10/16/2017","'SCfit'",0.9762,0.9631,0.9614,168,NA,NA,NA,NA,153.614,0.734,"Y",118.7079,0.9534,0.9552,0.1175,0.1196
"'04128000'",19176,4,"4/1/1942","9/30/1994","'SCfit'",0.9841,0.9455,0.9151,265,NA,NA,NA,NA,5.8904,0.9939,"Y",218.6473,0.893,0.9206,0.1124,0.1689
"'04141000'",9861,32,"10/1/1951","9/29/1978","'SCfit'",0.9678,0.9899,0.2058,240,NA,NA,NA,NA,345.5191,0.5701,"Y",0.5378,0.1637,0.915,0.0469,0.4239
"'04159500'",17379,5,"3/1/1944","9/29/1991","'sin_cos'",0.9755,0.9773,0.2316,228.7163,526.2228,10,"7/19/1960",380.6368,98.8629,0.9668,"Y",297.9,0.1894,0.8697,0.0605,0.463
